NAME                                VERSION                 TYPE                     
npm-normalize-package-bin           2.0.0                   npm     (+4 duplicates)  
npm-package-arg                     9.1.0                   npm                      
npm-packlist                        5.1.3                   npm                      
npm-pick-manifest                   7.0.2                   npm                      
npm-profile                         6.2.1                   npm                      
npm-registry-fetch                  13.3.1                  npm                      
npm-user-validate                   1.0.1                   npm                      
npmlog                              6.0.2                   npm                      
once                                1.4.0                   npm                      
opener                              1.5.2                   npm                      
p-map                               4.0.0                   npm                      
pacote                              13.6.2                  npm                      
parse-conflict-json                 2.0.2                   npm                      
path-is-absolute                    1.0.1                   npm                      
postcss-selector-parser             6.0.10                  npm                      
proc-log                            2.0.1                   npm                      
promise-all-reject-late             1.0.1                   npm                      
promise-call-limit                  1.0.1                   npm                      
promise-inflight                    1.0.1                   npm                      
promise-retry                       2.0.1                   npm                      
promzard                            0.3.0                   npm                      
qrcode-terminal                     0.12.0                  npm                      
read                                1.0.7                   npm                      
read-cmd-shim                       3.0.0                   npm                      
read-package-json                   5.0.2                   npm                      
read-package-json-fast              2.0.3                   npm                      
readable-stream                     3.6.0                   npm                      
readdir-scoped-modules              1.1.0                   npm                      
retry                               0.12.0                  npm                      
rimraf                              3.0.2                   npm                      
safe-buffer                         5.2.1                   npm                      
safer-buffer                        2.1.2                   npm                      
scanelf                             1.3.7-r1                apk                      
semver                              7.3.7                   npm                      
set-blocking                        2.0.0                   npm                      
signal-exit                         3.0.7                   npm                      
smart-buffer                        4.2.0                   npm                      
socks                               2.7.0                   npm                      
socks-proxy-agent                   7.0.0                   npm                      
spdx-correct                        3.1.1                   npm                      
spdx-exceptions                     2.3.0                   npm                      
spdx-expression-parse               3.0.1                   npm                      
spdx-license-ids                    3.0.11                  npm                      
ssl_client                          1.36.1-r2               apk                      
ssri                                9.0.1                   npm                      
string-width                        4.2.3                   npm                      
string_decoder                      1.3.0                   npm                      
strip-ansi                          6.0.1                   npm                      
supports-color                      7.2.0                   npm                      
tar                                 6.1.11                  npm                      
text-table                          0.2.0                   npm                      
tiny-relative-date                  1.3.0                   npm                      
treeverse                           2.0.0                   npm                      
unique-filename                     2.0.1                   npm                      
unique-slug                         3.0.0                   npm                      
util-deprecate                      1.0.2                   npm                      
validate-npm-package-license        3.0.4                   npm                      
validate-npm-package-name           4.0.0                   npm                      
walk-up-path                        1.0.0                   npm                      
wcwidth                             1.0.1                   npm                      
which                               2.0.2                   npm                      
wide-align                          1.1.5                   npm                      
wrappy                              1.0.2                   npm                      
write-file-atomic                   4.0.2                   npm                      
yallist                             4.0.0                   npm                      
yarn                                1.22.19                 npm                      
zlib                                1.2.13-r1               apk
